question,votes,tags
Changing text of UIButton programmatically swift,242,"ios, xcode, swift, uibutton"
"Undefined symbols for architecture i386: _OBJC_CLASS_$_SKPSMTPMessage"", referenced from: error",242,"ios, objective-c, iphone, compiler-errors, email"
How can I get the height and width of an uiimage?,242,"ios, uiimage, cgsize"
Can you attach a UIGestureRecognizer to multiple views?,242,"ios, objective-c, uigesturerecognizer"
SourceKitService Terminated,242,"ios, swift, xcode, sourcekitservice"
Delete/Reset all entries in Core Data?,241,"ios, cocoa, cocoa-touch, core-data, nsmanagedobject"
How to load a UIView using a nib file created with Interface Builder,241,"iphone, objective-c, ios, cocoa-touch, interface-builder"
How to show “Done” button on iPhone number pad,241,"ios, iphone, user-input"
Xcode: What is a target and scheme in plain language?,240,"ios, xcode, xcode-scheme, xcode-target"
Using isKindOfClass with Swift,239,"ios, swift, reflection, introspection"
iPhone: How to get current milliseconds?,238,"ios, iphone, time, timestamp, current-time"
Programmatically go back to previous ViewController in Swift,238,"ios, swift, segue"
UILabel Align Text to center,238,"ios, text, alignment, uilabel"
What are the Dangers of Method Swizzling in Objective-C?,238,"ios, objective-c, swizzling"
What kind of leaks does automatic reference counting in Objective-C not prevent or minimize?,237,"ios, objective-c, macos, memory-leaks, automatic-ref-counting"
How to hide keyboard in swift on pressing return key?,236,"ios, swift, uitextfield"
Change UITextField and UITextView Cursor / Caret Color,236,"ios, colors, uitextfield, cursor, uitextview"
How to quit or close single simulator from opened multiple simulator in Xcode 9?,236,"ios, xcode9-beta, xcode9"
setNeedsLayout vs. setNeedsUpdateConstraints and layoutIfNeeded vs updateConstraintsIfNeeded,236,"ios, objective-c, autolayout, nslayoutconstraint"
iOS 7 Navigation Bar text and arrow color,235,"iphone, ios, objective-c, uinavigationbar, ios7"
Xcode iOS project only shows “My Mac 64-bit” but not simulator or device,235,"ios, xcode, xcode4"
"My prerelease app has been “processing” for over a week in iTunes Connect, what gives?",235,"ios, xcode6, app-store-connect, testflight"
How to change font of UIButton with Swift,234,"ios, uibutton, swift, uifont"
Getting the difference between two Dates (months/days/hours/minutes/seconds) in Swift,234,"ios, swift, macos, date, nsdate"
UINavigationBar custom back button without title,233,"ios, user-interface, uinavigationbar"
What's NSLocalizedString equivalent in Swift?,233,"ios, swift, localization, nslocalizedstring"
"The iOS Simulator deployment targets is set to 7.0, but the range of supported deployment target version for this platform is 8.0 to 12.1",233,"ios, xcode, cocoapods, ios-simulator, google-fabric"
Save string to the NSUserDefaults?,233,"ios, cocoa-touch, nsuserdefaults"
Is it possible to update a localized storyboard's strings?,233,"ios, xcode, string, localization, storyboard"
How do I do base64 encoding on iOS?,233,"ios, objective-c, base64"
How to log a method's execution time exactly in milliseconds?,232,"ios, objective-c, optimization, time"
Xcode 8 / Swift 3: “Expression of type UIViewController? is unused” warning,232,"ios, swift"
Obtain Bundle Identifier programmatically,232,"ios, cocoa-touch"
Check OS version in Swift?,231,"ios, macos, swift"
How to change the Push and Pop animations in a navigation based app,231,"ios, animation, uinavigationcontroller"
Setting custom UITableViewCells height,231,"ios, objective-c, uitableview, row-height"
Can I force a UITableView to hide the separator between empty cells? [duplicate],231,"ios, objective-c, cocoa-touch, uitableview"
How can I use NSError in my iPhone App?,231,"iphone, ios, objective-c, ios4, nserror"
'Project Name' was compiled with optimization - stepping may behave oddly; variables may not be available,231,"ios, afnetworking-2, xcode7"
Xcode Simulator: how to remove older unneeded devices?,230,"ios, xcode, ios-simulator"
Easy way to see saved NSUserDefaults?,230,"ios, objective-c, macos, nsuserdefaults"
Converting NSString to NSDate (and back again),230,"ios, objective-c, nsstring, nsdate"
Making the iPhone vibrate,230,"ios, cocoa-touch, avfoundation, vibration"
How to set back button text in Swift,229,"ios, objective-c, swift"
How to remove provisioning profiles from Xcode,229,"ios, xcode, provisioning-profile, ios-provisioning"
Stop UIWebView from “bouncing” vertically?,229,"ios, objective-c, iphone, uiscrollview, uiwebview"
Simulator error FBSSystemServiceDomain code 4,229,"ios, ios-simulator, xcode6, ios8.1"
iOS Tests/Specs TDD/BDD and Integration & Acceptance Testing,229,"iphone, ios, rspec, cucumber, ios-ui-automation"
How can I get the iOS 7 default blue color programmatically?,228,"ios, colors, ios7, uicolor"
Move textfield when keyboard appears swift,228,"ios, swift, cocoa-touch, keyboard, uitextfield"
How to dismiss ViewController in Swift?,228,"ios, swift, viewcontroller"
What is the meaning of 'No bundle URL present' in react-native?,228,"ios, reactjs, react-native"
iPhone development on Windows [duplicate],228,"iphone, windows, ios"
How can I change the app display name build with Flutter?,227,"android, ios, flutter, dart, build"
How can I mimic the bottom sheet from the Maps app?,227,"ios, swift, uiview, uiscrollview, mapkit"
"Is it possible to register a http+domain-based URL Scheme for iPhone apps, like YouTube and Maps?",227,"iphone, ios, url"
How do I change the title of the “back” button on a Navigation Bar,226,"ios, objective-c, uinavigationbar, uinavigationitem"
What should Xcode 6 gitignore file include?,226,"ios, iphone, xcode, git"
Execute action when back bar button of UINavigationController is pressed,225,"ios, xcode, swift, uinavigationcontroller"
Change font size of UISegmentedControl,225,"ios, iphone, cocoa-touch, font-size, uisegmentedcontrol"
Application Loader stuck at “Authenticating with the iTunes store” when uploading an iOS app,224,"ios, xcode, itunes, application-loader"
Styling input buttons for iPad and iPhone,224,"iphone, css, ios, ipad"
Detect Retina Display,224,"ios, iphone, retina-display, uiscreen"
How to access SOAP services from iPhone,224,"iphone, ios, web-services, soap, wsdl"
"applicationWillEnterForeground vs. applicationDidBecomeActive, applicationWillResignActive vs. applicationDidEnterBackground",223,"ios, objective-c, iphone, uiapplicationdelegate"
Will iOS launch my app into the background if it was force-quit by the user?,223,"ios, ios7, push-notification, apple-push-notifications"
How do I avoid capturing self in blocks when implementing an API?,222,"objective-c, ios, objective-c-blocks, automatic-ref-counting"
iPhone - Get Position of UIView within entire UIWindow,222,"iphone, cocoa-touch, ios, uiview, uiwindow"
UICollectionView Self Sizing Cells with Auto Layout,222,"ios, uicollectionview, autolayout, uicollectionviewcell"
Xcode 4 says “finished running <my app>” on the targeted device — Nothing happens,222,"iphone, ios, xcode, xcode4, ipod-touch"
Send POST request using NSURLSession,222,"ios, objective-c, nsurlsession"
Change color of Back button in navigation bar,221,"ios, swift, uinavigationbar, uibarbuttonitem, backbarbuttonitem"
Gradients on UIView and UILabels On iPhone [duplicate],220,"iphone, ios, cocoa-touch, gradient"
How to deselect a selected UITableView cell?,220,"ios, objective-c, iphone, uitableview, interface-builder"
Get safe area inset top and bottom heights,220,"ios, iphone-x, safearealayoutguide"
UITapGestureRecognizer breaks UITableView didSelectRowAtIndexPath,220,"ios, uitableview, uitapgesturerecognizer"
"@property retain, assign, copy, nonatomic in Objective-C",219,"ios, objective-c, iphone, memory-management"
How to launch Safari and open URL from iOS app,219,"ios, url, mobile-safari"
iOS 7: UITableView shows under status bar,219,"ios, ios7, uistatusbar"
How can I produce an effect similar to the iOS 7 blur view?,219,"ios, graphics, transparency"
Converting Storyboard from iPhone to iPad,218,"ios, iphone, xcode, ipad, storyboard"
Get User's Current Location / Coordinates,218,"ios, swift, iphone, location, cllocationmanager"
How to check if a file exists in Documents folder?,218,"ios, iphone, xcode, webview, nsfilemanager"
How to check version of a CocoaPods framework,217,"ios, version, cocoapods"
Autolayout - intrinsic size of UIButton does not include title insets,217,"ios, cocoa-touch, uiview, uibutton, autolayout"
Does this app use the Advertising Identifier (IDFA)? - AdMob 6.8.0,217,"ios, admob"
"In a storyboard, how do I make a custom cell for use with multiple controllers?",217,"objective-c, ios, uitableview, storyboard"
Autoresizing masks programmatically vs Interface Builder / xib / nib,217,"ios, cocoa-touch, uiview, autoresizingmask"
How to animate the change of image in an UIImageView?,216,"ios, iphone, animation, uiimageview, uiimage"
How to change Navigation Bar color in iOS 7?,216,"ios, ios7, storyboard, uikit, uinavigationbar"
How to add spacing between UITableViewCell,216,"ios, objective-c, uitableview"
How can I make a clickable link in an NSAttributedString?,216,"ios, objective-c, hyperlink, uitextview, nsattributedstring"
Undefined symbols for architecture arm64,215,"ios, xcode, xcode5, cocoapods"
iPad keyboard will not dismiss if modal ViewController presentation style is UIModalPresentationFormSheet,215,"ios, iphone, objective-c, uitextfield, first-responder"
How do I remove the blue styling of telephone numbers on iPhone/iOS?,214,"html, ios, css, mobile-safari"
How to copy text to clipboard/pasteboard with Swift,214,"ios, swift, cocoa-touch, copy, uipasteboard"
Detecting which UIButton was pressed in a UITableView,214,"ios, iphone, uitableview, uibutton"
Get push notification while App in foreground iOS,214,"iphone, ios, objective-c, push-notification"
How to fix UITableView separator on iOS 7? [duplicate],213,"iphone, ios, ipad, uitableview, ios7"
How to create a String with format?,213,"ios, swift, ios8, string-formatting"
NSUserDefaults - How to tell if a key exists,213,"ios, objective-c, iphone, nsuserdefaults"
iOS how to set app icon and launch images,213,"ios, xcode, icons, archive, launchimage"
Custom Cell Row Height setting in storyboard is not responding,213,"ios, uitableview, ios5, storyboard, xcode4.2"
Cropping an UIImage,212,"ios, objective-c, cocoa-touch, uiimagepickercontroller, image-manipulation"
Attempt to set a non-property-list object as an NSUserDefaults,212,"ios, objective-c, encoding, nsuserdefaults"
Adding space/padding to a UILabel,211,"ios, uilabel, padding"
How to create a GUID/UUID using iOS,211,"ios, uuid, guid"
How to use UIVisualEffectView to Blur Image?,211,"ios, objective-c, uiview, uikit, uivisualeffectview"
Date Format in Swift,210,"ios, swift, nsdate, nsdateformatter"
How to Apply Gradient to background view of iOS Swift App,210,"ios, ios7, swift, cagradientlayer"
ERROR ITMS-9000: “Redundant Binary Upload. There already exists a binary upload with build version '1.0' for train '1.0'”,210,"ios, xcode5, itunes, app-store-connect"
How do I hide the status bar in a Swift iOS app?,209,"ios, iphone, ios7, swift"
How to assign an action for UIImageView object in Swift,209,"ios, swift, uiimageview"
Custom dealloc and ARC (Objective-C),209,"objective-c, ios, xcode, dealloc, automatic-ref-counting"
How do I get a background location update every n minutes in my iOS application?,209,"ios, objective-c, core-location, background-process"
How do I get a plist as a Dictionary in Swift?,208,"ios, swift"
Determine on iPhone if user has enabled push notifications,208,"ios, iphone, notifications, apple-push-notifications, push"
Access Container View Controller from Parent iOS,208,"ios, objective-c, swift, uiviewcontroller, uicontainerview"
How to iterate for loop in reverse order in swift?,207,"ios, swift, swift-playground"
Copy text to clipboard with iOS,207,"ios, objective-c, copy, clipboard"
receiver type *** for instance message is a forward declaration,207,"iphone, ios, objective-c, forward-declaration"
CFNetwork SSLHandshake failed iOS 9,207,"ios, ssl, nsurlconnection, ios9"
How to symbolicate crash log Xcode?,206,"ios, xcode"
Request failed: unacceptable content-type: text/html using AFNetworking 2.0,206,"ios, afnetworking, afnetworking-2"
Cell spacing in UICollectionView,206,"ios, objective-c, uicollectionview"
Swift - Convert to absolute value,206,"ios, iphone, swift"
Is there a way to iterate over a dictionary?,205,"ios, objective-c, foreach, iteration, nsdictionary"
